trade_id,timestamp,exchange,symbol,side,quantity,price_usd,fee_usd
TRD-0001,2025-10-01T09:00:00Z,Binance,BTC,BUY,0.03141403,105507.74,3.31
TRD-0002,2025-10-02T02:00:00Z,Binance,ETH,BUY,0.720874,3593.94,2.59
TRD-0003,2025-10-02T19:00:00Z,Binance,SOL,BUY,21.1540,218.598,4.62
TRD-0004,2025-10-03T12:00:00Z,Binance,CKB,BUY,464558,0.00723980,3.36
TRD-0005,2025-10-04T05:00:00Z,Binance,DOGE,BUY,16367.54,0.265970,4.35
TRD-0006,2025-10-04T22:00:00Z,Coinbase,BTC,BUY,0.03986831,106867.95,25.56
TRD-0007,2025-10-05T15:00:00Z,Coinbase,ETH,BUY,0.805665,3633.14,17.56
TRD-0008,2025-10-06T08:00:00Z,Coinbase,SOL,BUY,7.0265,224.160,9.45
TRD-0009,2025-10-07T01:00:00Z,Coinbase,CKB,BUY,575810,0.00753767,26.04
TRD-0010,2025-10-07T18:00:00Z,Coinbase,DOGE,BUY,10551.44,0.272123,17.23
TRD-0011,2025-10-10T09:03:00Z,Binance,BTC,BUY,0.02674737,107739.91,2.88
TRD-0012,2025-10-11T02:04:00Z,Binance,ETH,BUY,1.310094,3681.19,4.82
TRD-0013,2025-10-11T19:05:00Z,Binance,SOL,BUY,18.7178,232.829,4.36
TRD-0014,2025-10-12T12:06:00Z,Binance,CKB,BUY,219723,0.00790082,1.74
TRD-0015,2025-10-13T05:07:00Z,Binance,DOGE,BUY,18138.97,0.273924,4.97
TRD-0016,2025-10-13T22:08:00Z,Coinbase,BTC,BUY,0.04677948,108418.13,30.43
TRD-0017,2025-10-14T15:09:00Z,Coinbase,ETH,BUY,1.063740,3734.03,23.83
TRD-0018,2025-10-15T08:10:00Z,Coinbase,SOL,BUY,15.7570,239.218,22.62
TRD-0019,2025-10-16T01:11:00Z,Coinbase,CKB,BUY,638165,0.00807512,30.92
TRD-0020,2025-10-16T18:12:00Z,Coinbase,DOGE,BUY,18761.19,0.271345,30.54
TRD-0021,2025-10-19T09:06:00Z,Binance,BTC,SELL,0.01628519,108819.27,1.77
TRD-0022,2025-10-20T02:08:00Z,Binance,ETH,SELL,0.528051,3809.23,2.01
TRD-0023,2025-10-20T19:10:00Z,Binance,SOL,SELL,13.5564,246.032,3.34
TRD-0024,2025-10-21T12:12:00Z,Binance,CKB,SELL,273712,0.00811576,2.22
TRD-0025,2025-10-22T05:14:00Z,Binance,DOGE,SELL,12767.40,0.259935,3.32
TRD-0026,2025-10-22T22:16:00Z,Coinbase,BTC,SELL,0.04678980,109551.86,30.76
TRD-0027,2025-10-23T15:18:00Z,Coinbase,ETH,SELL,0.934702,3873.17,21.72
TRD-0028,2025-10-24T08:20:00Z,Coinbase,SOL,SELL,8.4298,248.876,12.59
TRD-0029,2025-10-25T01:22:00Z,Coinbase,CKB,SELL,437031,0.00802400,21.04
TRD-0030,2025-10-25T18:24:00Z,Coinbase,DOGE,SELL,11431.92,0.250377,17.17
TRD-0031,2025-10-28T09:09:00Z,Binance,BTC,BUY,0.04272722,110349.82,4.71
TRD-0032,2025-10-29T02:12:00Z,Binance,ETH,BUY,0.830461,3938.15,3.27
TRD-0033,2025-10-29T19:15:00Z,Binance,SOL,BUY,10.8653,247.060,2.68
TRD-0034,2025-10-30T12:18:00Z,Binance,CKB,BUY,240272,0.00764457,1.84
TRD-0035,2025-10-31T05:21:00Z,Binance,DOGE,BUY,21141.11,0.232645,4.92
TRD-0036,2025-10-31T22:24:00Z,Coinbase,BTC,BUY,0.04497629,111337.82,30.05
TRD-0037,2025-11-01T15:27:00Z,Coinbase,ETH,BUY,0.351244,3972.16,8.37
TRD-0038,2025-11-02T08:30:00Z,Coinbase,SOL,BUY,13.7548,243.018,20.06
TRD-0039,2025-11-03T01:33:00Z,Coinbase,CKB,BUY,383461,0.00731967,16.84
TRD-0040,2025-11-03T18:36:00Z,Coinbase,DOGE,BUY,20473.73,0.222295,27.31
TRD-0041,2025-11-06T09:12:00Z,Binance,BTC,BUY,0.03982886,112140.36,4.47
TRD-0042,2025-11-07T02:16:00Z,Binance,ETH,SELL,1.050020,3955.85,4.15
TRD-0043,2025-11-07T19:20:00Z,Binance,SOL,BUY,11.3690,230.707,2.62
TRD-0044,2025-11-08T12:24:00Z,Binance,CKB,SELL,344945,0.00671463,2.32
TRD-0045,2025-11-09T05:28:00Z,Binance,DOGE,BUY,25417.20,0.208068,5.29
TRD-0046,2025-11-09T22:32:00Z,Coinbase,BTC,SELL,0.04581051,112723.72,30.98
TRD-0047,2025-11-10T15:36:00Z,Coinbase,ETH,BUY,1.312538,3920.53,30.88
TRD-0048,2025-11-11T08:40:00Z,Coinbase,SOL,SELL,7.5892,221.096,10.07
TRD-0049,2025-11-12T01:44:00Z,Coinbase,CKB,BUY,442478,0.00635038,16.86
TRD-0050,2025-11-12T18:01:00Z,Coinbase,DOGE,SELL,14191.14,0.202227,17.22
TRD-0051,2025-11-15T09:15:00Z,Binance,BTC,SELL,0.03608536,112199.63,4.05
TRD-0052,2025-11-16T02:20:00Z,Binance,ETH,BUY,0.642868,3793.12,2.44
TRD-0053,2025-11-16T19:25:00Z,Binance,SOL,BUY,19.8490,203.985,4.05
TRD-0054,2025-11-17T12:30:00Z,Binance,CKB,BUY,619092,0.00585083,3.62
TRD-0055,2025-11-18T05:35:00Z,Binance,DOGE,SELL,17074.35,0.195993,3.35
